FIPS,County,Year,Population
53001,Adams,2015,19067
53003,Asotin,2015,22110
53005,Benton,2015,184486
53007,Chelan,2015,73967
53009,Clallam,2015,72312
53011,Clark,2015,443817
53013,Columbia,2015,4032
53015,Cowlitz,2015,101860
53017,Douglas,2015,39471
53019,Ferry,2015,7646
53021,Franklin,2015,86638
53023,Garfield,2015,2256
53025,Grant,2015,91878
53027,Grays Harbor,2015,71078
53029,Island,2015,78801
53031,Jefferson,2015,30076
53033,King,2015,2044449
53035,Kitsap,2015,253968
53037,Kittitas,2015,41765
53039,Klickitat,2015,20866
53041,Lewis,2015,75081
53043,Lincoln,2015,10301
53045,Mason,2015,60497
53047,Okanogan,2015,41193
53049,Pacific,2015,20498
53051,Pend Oreille,2015,12896
53053,Pierce,2015,819743
53055,San Juan,2015,15875
53057,Skagit,2015,118837
53059,Skamania,2015,11274
53061,Snohomish,2015,745913
53063,Spokane,2015,479398
53065,Stevens,2015,43430
53067,Thurston,2015,262388
53069,Wahkiakum,2015,4042
53071,Walla Walla,2015,59530
53073,Whatcom,2015,206353
53075,Whitman,2015,46570
53077,Yakima,2015,247044
53001,Adams,2016,19179
53003,Asotin,2016,22189
53005,Benton,2016,186486
53007,Chelan,2016,74588
53009,Clallam,2016,72715
53011,Clark,2016,451008
53013,Columbia,2016,3985
53015,Cowlitz,2016,102133
53017,Douglas,2016,39804
53019,Ferry,2016,7667
53021,Franklin,2016,87809
53023,Garfield,2016,2215
53025,Grant,2016,93147
53027,Grays Harbor,2016,70818
53029,Island,2016,79275
53031,Jefferson,2016,30228
53033,King,2016,2079967
53035,Kitsap,2016,254183
53037,Kittitas,2016,42522
53039,Klickitat,2016,20861
53041,Lewis,2016,75128
53043,Lincoln,2016,10250
53045,Mason,2016,60711
53047,Okanogan,2016,41290
53049,Pacific,2016,20561
53051,Pend Oreille,2016,12985
53053,Pierce,2016,831928
53055,San Juan,2016,16015
53057,Skagit,2016,120365
53059,Skamania,2016,11340
53061,Snohomish,2016,759583
53063,Spokane,2016,484318
53065,Stevens,2016,43650
53067,Thurston,2016,265851
53069,Wahkiakum,2016,4067
53071,Walla Walla,2016,59844
53073,Whatcom,2016,208351
53075,Whitman,2016,46827
53077,Yakima,2016,247687
53001,Adams,2017,19254
53003,Asotin,2017,22105
53005,Benton,2017,190309
53007,Chelan,2017,75644
53009,Clallam,2017,73486
53011,Clark,2017,459495
53013,Columbia,2017,3944
53015,Cowlitz,2017,103468
53017,Douglas,2017,40534
53019,Ferry,2017,7582
53021,Franklin,2017,88807
53023,Garfield,2017,2219
53025,Grant,2017,93259
53027,Grays Harbor,2017,71122
53029,Island,2017,80593
53031,Jefferson,2017,30466
53033,King,2017,2117125
53035,Kitsap,2017,260131
53037,Kittitas,2017,43269
53039,Klickitat,2017,21026
53041,Lewis,2017,75882
53043,Lincoln,2017,10321
53045,Mason,2017,61023
53047,Okanogan,2017,41516
53049,Pacific,2017,20848
53051,Pend Oreille,2017,13088
53053,Pierce,2017,843954
53055,San Juan,2017,16252
53057,Skagit,2017,121846
53059,Skamania,2017,11339
53061,Snohomish,2017,772501
53063,Spokane,2017,490945
53065,Stevens,2017,43791
53067,Thurston,2017,269536
53069,Wahkiakum,2017,4042
53071,Walla Walla,2017,60338
53073,Whatcom,2017,212284
53075,Whitman,2017,48177
53077,Yakima,2017,248830
53001,Adams,2018,19238
53003,Asotin,2018,22306
53005,Benton,2018,193686
53007,Chelan,2018,76338
53009,Clallam,2018,74570
53011,Clark,2018,467018
53013,Columbia,2018,3938
53015,Cowlitz,2018,105160
53017,Douglas,2018,41327
53019,Ferry,2018,7614
53021,Franklin,2018,90160
53023,Garfield,2018,2247
53025,Grant,2018,93546
53027,Grays Harbor,2018,71628
53029,Island,2018,82636
53031,Jefferson,2018,31139
53033,King,2018,2149970
53035,Kitsap,2018,264811
53037,Kittitas,2018,44866
53039,Klickitat,2018,21301
53041,Lewis,2018,77066
53043,Lincoln,2018,10350
53045,Mason,2018,62198
53047,Okanogan,2018,41554
53049,Pacific,2018,21249
53051,Pend Oreille,2018,13123
53053,Pierce,2018,861312
53055,San Juan,2018,16339
53057,Skagit,2018,123681
53059,Skamania,2018,11510
53061,Snohomish,2018,787620
53063,Spokane,2018,499072
