FIPS,County,Year,Population
53065,Stevens,2018,44439
53067,Thurston,2018,275222
53069,Wahkiakum,2018,4139
53071,Walla Walla,2018,60340
53073,Whatcom,2018,216800
53075,Whitman,2018,48851
53077,Yakima,2018,249636
53001,Adams,2019,19506
53003,Asotin,2019,22535
53005,Benton,2019,198171
53007,Chelan,2019,76533
53009,Clallam,2019,75474
53011,Clark,2019,474643
53013,Columbia,2019,4047
53015,Cowlitz,2019,106910
53017,Douglas,2019,41945
53019,Ferry,2019,7594
53021,Franklin,2019,92125
53023,Garfield,2019,2210
53025,Grant,2019,95158
53027,Grays Harbor,2019,72697
53029,Island,2019,83159
53031,Jefferson,2019,31234
53033,King,2019,2188649
53035,Kitsap,2019,266414
53037,Kittitas,2019,46205
53039,Klickitat,2019,21811
53041,Lewis,2019,78200
53043,Lincoln,2019,10579
53045,Mason,2019,63710
53047,Okanogan,2019,41742
53049,Pacific,2019,21626
53051,Pend Oreille,2019,13354
53053,Pierce,2019,876764
53055,San Juan,2019,16715
53057,Skagit,2019,125619
53059,Skamania,2019,11837
53061,Snohomish,2019,801633
53063,Spokane,2019,506152
53065,Stevens,2019,44730
53067,Thurston,2019,280588
53069,Wahkiakum,2019,4264
53071,Walla Walla,2019,60567
53073,Whatcom,2019,221404
53075,Whitman,2019,49046
53077,Yakima,2019,250193
53001,Adams,2020,19759
53003,Asotin,2020,22610
53005,Benton,2020,201877
53007,Chelan,2020,77036
53009,Clallam,2020,76737
53011,Clark,2020,481857
53013,Columbia,2020,4059
53015,Cowlitz,2020,108987
53017,Douglas,2020,42907
53019,Ferry,2020,7649
53021,Franklin,2020,94347
53023,Garfield,2020,2247
53025,Grant,2020,97331
53027,Grays Harbor,2020,73901
53029,Island,2020,84460
53031,Jefferson,2020,31729
53033,King,2020,2233163
53035,Kitsap,2020,269805
53037,Kittitas,2020,47364
53039,Klickitat,2020,22107
53041,Lewis,2020,79604
53043,Lincoln,2020,10740
53045,Mason,2020,65507
53047,Okanogan,2020,42132
53049,Pacific,2020,22036
53051,Pend Oreille,2020,13602
53053,Pierce,2020,891299
53055,San Juan,2020,17128
53057,Skagit,2020,128206
53059,Skamania,2020,11924
53061,Snohomish,2020,814901
53063,Spokane,2020,514631
53065,Stevens,2020,45260
53067,Thurston,2020,286419
53069,Wahkiakum,2020,4426
53071,Walla Walla,2020,60922
53073,Whatcom,2020,225685
53075,Whitman,2020,49791
53077,Yakima,2020,251446
53001,Adams,2021,19983
53003,Asotin,2021,22582
53005,Benton,2021,204390
53007,Chelan,2021,77200
53009,Clallam,2021,77331
53011,Clark,2021,488241
53013,Columbia,2021,3985
53015,Cowlitz,2021,110593
53017,Douglas,2021,43429
53019,Ferry,2021,7627
53021,Franklin,2021,95222
53023,Garfield,2021,2225
53025,Grant,2021,97733
53027,Grays Harbor,2021,75061
53029,Island,2021,85141
53031,Jefferson,2021,32221
53033,King,2021,2252782
53035,Kitsap,2021,271473
53037,Kittitas,2021,47935
53039,Klickitat,2021,22425
53041,Lewis,2021,80707
53043,Lincoln,2021,10939
53045,Mason,2021,66768
53047,Okanogan,2021,42243
53049,Pacific,2021,22471
53051,Pend Oreille,2021,13724
53053,Pierce,2021,904980
53055,San Juan,2021,17582
53057,Skagit,2021,129205
53059,Skamania,2021,12083
53061,Snohomish,2021,822083
53063,Spokane,2021,522798
53065,Stevens,2021,45723
53067,Thurston,2021,290536
53069,Wahkiakum,2021,4488
53071,Walla Walla,2021,60760
53073,Whatcom,2021,229247
53075,Whitman,2021,50104
53077,Yakima,2021,250873
53001,Adams,2022,20027
53003,Asotin,2022,22820
53005,Benton,2022,206426
53007,Chelan,2022,77574
53009,Clallam,2022,78067
53011,Clark,2022,496865
53013,Columbia,2022,4048
53015,Cowlitz,2022,111371
53017,Douglas,2022,43560
53019,Ferry,2022,7759
53021,Franklin,2022,97075
53023,Garfield,2022,2290
53025,Grant,2022,99377
53027,Grays Harbor,2022,75950
53029,Island,2022,86014
53031,Jefferson,2022,32700
53033,King,2022,2274315
53035,Kitsap,2022,272787
53037,Kittitas,2022,49204
53039,Klickitat,2022,22697
53041,Lewis,2022,82109
53043,Lincoln,2022,11090
53045,Mason,2022,68224
53047,Okanogan,2022,42620
53049,Pacific,2022,22984
53051,Pend Oreille,2022,14144
53053,Pierce,2022,913890
53055,San Juan,2022,17492
53057,Skagit,2022,130789
53059,Skamania,2022,12107
53061,Snohomish,2022,830393
53063,Spokane,2022,528225
53065,Stevens,2022,46360
53067,Thurston,2022,294074
53069,Wahkiakum,2022,4498
53071,Walla Walla,2022,61292
53073,Whatcom,2022,231016
53075,Whitman,2022,49500
53077,Yakima,2022,251879
53001,Adams,2023,20621
53003,Asotin,2023,22397
53005,Benton,2023,210025
53007,Chelan,2023,79646
53009,Clallam,2023,78209
53011,Clark,2023,511404
53013,Columbia,2023,4042
53015,Cowlitz,2023,111524
53017,Douglas,2023,43696
53019,Ferry,2023,7273
53021,Franklin,2023,98268
53023,Garfield,2023,2346
53025,Grant,2023,100297
53027,Grays Harbor,2023,76841
53029,Island,2023,87432
53031,Jefferson,2023,33605
53033,King,2023,2252305
53035,Kitsap,2023,274314
53037,Kittitas,2023,45499
53039,Klickitat,2023,23118
53041,Lewis,2023,84398
53043,Lincoln,2023,11232
53045,Mason,2023,67615
53047,Okanogan,2023,42634
53049,Pacific,2023,23948
53051,Pend Oreille,2023,13886
53053,Pierce,2023,925708
53055,San Juan,2023,18557
53057,Skagit,2023,130696
53059,Skamania,2023,12170
53061,Snohomish,2023,833540
53063,Spokane,2023,546040
53065,Stevens,2023,47426
53067,Thurston,2023,297977
53069,Wahkiakum,2023,4582
53071,Walla Walla,2023,62682
53073,Whatcom,2023,228831
53075,Whitman,2023,47873
53077,Yakima,2023,256035
